x,y
0,0
0,1
1,1
2,1
2,0
3,0
4,0
5,0
5,1
5,2
5,3
6,3
7,3
8,3
9,3
9,4
9,5
9,6
8,6
8,5
8,4
7,4
6,4
5,4
5,5
6,5
7,5
7,6
7,7
7,8
7,9
8,9
9,9
