x,y
32,8
29,26
30,49
34,36
30,37
33,47
38,2
36,49
37,19
40,48
39,34
41,42
39,19
41,48
43,47
46,7
43,40
43,17
46,21
46,32
49,38
49,30
49,46
47,2
49,4
48,24
4,5
2,16
2,27
1,21
3,37
3,49
2,8
1,40
3,27
4,14
8,7
9,49
10,17
11,6
9,25
8,42
12,2
10,35
11,48
13,20
16,1
14,29
16,22
14,48
16,16
20,27
18,9
20,7
22,15
22,26
22,18
21,48
25,20
24,4
28,23
26,27
24,45
25,0
26,10
29,20
26,36
27,21
30,12
33,41
32,9
28,26
30,48
35,36
29,37
32,47
37,2
37,49
36,19
40,47
38,34
41,43
38,19
41,49
43,46
46,8
42,17
47,21
46,33
49,37
49,29
49,45
47,1
48,4
48,23
4,4
2,17
1,20
3,36
2,49
2,7
2,40
3,26
4,15
8,8
8,49
11,17
11,5
10,25
9,42
11,2
12,48
13,21
13,29
16,23
16,17
20,28
18,10
20,6
21,15
22,25
22,19
20,48
25,21
25,4
27,23
25,27
23,45
24,0
27,10
25,36
27,20
29,12
32,10
28,25
31,48
35,35
32,46
37,3
36,18
40,46
38,35
40,43
38,20
40,49
44,46
45,8
42,16
47,20
47,33
48,37
49,28
48,45
46,1
48,5
47,23
5,4
2,18
1,19
4,36
1,49
1,7
2,41
2,26
5,15
8,9
7,49
12,17
12,5
10,24
9,43
10,2
12,49
13,30
16,24
17,17
20,29
17,10
20,5
20,15
21,25
23,19
20,47
25,22
26,4
26,23
24,27
24,1
27,9
27,19
29,11
31,10
29,25
31,47
35,34
31,46
37,4
36,17
40,45
39,35
39,43
39,20
39,49
45,46
45,9
41,16
47,19
48,33
47,37
49,27
47,45
46,0
48,6
46,23
5,3
3,18
0,19
4,35
0,49
1,8
1,41
2,25
6,15
7,9
6,49
13,17
13,5
11,24
8,43
10,3
13,49
14,30
18,17
20,30
17,11
19,5
20,14
20,25
23,20
21,47
25,23
26,5
26,24
23,1
28,9
26,19
29,10
31,9
29,24
30,47
35,33
30,46
36,4
35,17
39,36
38,43
39,21
38,49
45,0
45,47
45,10
41,17
46,19
49,33
46,37
49,26
47,44
48,7
45,23
4,3
4,18
0,20
5,35
0,48
0,8
1,42
2,24
6,16
5,49
13,18
11,25
7,43
10,4
13,48
14,31
18,18
21,30
16,11
19,6
20,13
19,25
24,20
21,46
24,23
27,5
25,24
22,1
29,9
26,18
30,9
29,23
29,47
35,32
30,45
36,5
34,17
40,36
38,42
40,21
38,48
45,1
44,47
40,17
46,18
49,34
46,38
48,26
48,44
48,8
44,23
3,3
4,19
0,21
5,34
0,47
0,9
0,42
2,23
7,16
4,49
12,18
11,26
7,42
11,4
13,47
19,18
22,30
16,10
19,7
19,24
24,21
21,45
24,22
27,4
25,25
21,1
29,8
26,17
30,8
29,22
29,46
34,32
31,45
36,6
34,16
40,35
39,42
40,22
37,48
45,2
47,18
49,35
47,38
48,27
48,43
3,4
5,19
0,22
4,34
0,46
1,9
0,43
8,16
4,48
11,18
12,26
7,41
11,3
14,47
19,19
23,30
15,10
18,7
23,21
22,45
23,22
27,3
28,8
30,7
29,21
34,33
32,45
35,6
34,15
39,41
39,22
37,47
46,2
47,17
49,36
48,38
47,27
47,43
2,4
5,20
0,23
3,34
1,46
1,43
8,15
4,47
10,18
12,25
7,40
12,3
14,46
20,19
18,6
22,44
23,23
28,3
27,8
29,7
30,21
33,33
33,45
35,7
33,15
38,41
39,23
36,47
46,3
46,17
48,36
48,39
47,26
47,42
1,4
6,20
1,23
3,35
1,44
8,14
5,47
10,19
12,24
8,40
12,4
20,18
18,5
22,43
22,23
28,4
26,8
29,6
31,21
32,33
34,45
36,7
33,16
38,40
40,23
36,46
45,3
45,17
47,36
47,39
47,25
48,42
1,3
1,22
2,35
0,44
8,13
6,47
10,20
13,24
9,40
13,4
20,17
18,4
23,43
21,23
28,5
26,9
30,6
31,22
32,34
35,45
36,8
33,17
38,39
41,23
37,46
45,4
45,16
47,35
46,39
46,25
48,41
2,3
2,22
1,35
0,45
9,13
6,48
10,21
14,24
9,39
14,4
20,16
23,44
20,23
28,6
25,9
30,5
30,22
31,34
36,45
35,8
33,18
37,39
42,23
37,45
45,5
44,16
48,35
46,26
47,41
3,22
0,35
1,45
10,13
7,48
10,22
14,23
9,38
14,5
19,16
24,44
20,24
27,6
24,9
30,4
30,23
31,35
36,44
34,8
34,18
37,38
42,22
45,6
44,15
48,34
46,27
3,23
0,34
10,12
7,47
9,22
14,22
9,37
14,6
19,15
24,43
21,24
27,7
24,10
30,3
31,23
32,35
36,43
34,19
38,38
42,21
46,6
45,15
47,34
4,23
9,12
7,46
9,21
13,22
9,36
14,7
19,14
24,42
22,24
26,7
25,10
30,2
31,24
32,36
36,42
33,19
38,37
42,20
47,6
46,15
46,34
4,22
8,12
6,46
8,21
13,23
9,35
15,7
19,13
23,42
23,24
25,7
29,2
30,24
32,37
35,42
33,20
39,37
43,20
47,7
47,15
46,35
4,21
7,12
5,46
12,23
8,35
15,6
18,13
22,42
23,25
25,6
29,1
30,25
31,37
33,21
39,38
43,19
47,8
47,16
45,35
5,21
6,12
4,46
12,22
7,35
16,6
18,12
21,42
24,25
24,6
30,1
30,26
31,36
32,21
39,39
42,19
47,9
48,16
45,34
6,21
5,12
3,46
7,21
11,22
7,36
16,7
17,12
21,43
24,26
24,5
31,1
31,26
30,36
32,20
40,39
41,19
48,9
48,17
44,34
4,12
2,46
7,20
11,23
8,36
17,7
17,13
21,44
23,26
23,5
32,1
31,27
29,36
31,20
41,39
41,18
48,10
48,18
44,35
4,13
2,45
8,20
10,23
8,37
17,6
16,13
20,44
23,27
23,6
33,1
32,27
29,35
30,20
41,38
40,18
48,11
44,36
3,45
9,20
9,23
8,38
17,5
15,13
20,45
23,28
23,7
33,0
32,26
28,35
30,19
41,37
39,18
47,11
45,36
3,44
9,19
8,23
8,39
17,4
15,12
19,45
24,28
22,7
34,0
32,25
28,34
31,19
41,36
39,17
46,11
45,37
9,18
8,22
7,39
17,3
15,11
19,44
24,29
22,8
34,1
29,34
31,18
41,35
39,16
45,11
44,37
9,17
7,22
6,39
17,2
14,11
19,43
24,30
22,9
34,2
30,34
41,34
39,15
44,11
43,37
8,17
7,23
6,40
18,2
14,10
20,43
24,31
21,9
30,33
41,33
38,15
43,11
42,37
8,18
6,23
5,40
18,3
14,9
23,31
20,42
21,10
30,32
41,32
37,15
43,10
42,38
8,19
6,22
5,41
19,3
23,32
19,42
20,10
29,32
42,32
37,16
44,10
43,38
7,19
5,22
6,41
19,4
24,32
19,41
20,11
29,31
42,33
36,16
44,9
44,38
6,19
5,23
6,42
20,4
25,32
20,41
20,12
30,31
42,34
35,16
44,8
45,38
45,39
6,18
5,24
5,42
21,4
25,31
21,41
21,12
31,31
43,34
35,15
43,8
